,titles,subtitles,links
0,SAL TO PLAY FOR,Arsenal tell Saliba to forget transfer as they FINALLY want him this season,https://www.thesun.co.uk/sport/19224550/arsenal-transfer-news-william-saliba-mikel-arteta/
1,VAX FACTOR,Tuchel says Chelsea may refuse to sign unvaccinated stars after duo miss US trip,https://www.thesun.co.uk/sport/football/19225136/tuchel-chelsea-kante-loftus-cheek-vaccinations/
2,CASHING IN,Ex-Man United star Ryan Giggs set to receive millions after liquidating his firm,https://www.thesun.co.uk/sport/19223806/giggs-man-united-recieve-millions-football/
3,NO-GO MAXWELL,Burnley snub Everton's loan-to-buy Cornet bid as they want straight £18m deal,https://www.thesun.co.uk/sport/football/19225095/maxwell-cornet-everton-transfer-bid-snubbed-burnley/
4,ZIN THE MONEY,Arsenal agree Zinchenko deal with City with personal terms being discussed,https://www.thesun.co.uk/sport/football/19219717/arsenal-oleksandr-zinchenko-agree-fee-man-city/
5,SEV-ERE PAIN,Spurs & Sevilla in bloody battle with LaLiga star battered in Son clash,https://www.thesun.co.uk/sport/football/19221582/tottenham-sevilla-gonzalo-montiel-son/
6,MONEY TO 'BURN,Blackburn's Brereton Diaz wanted by Sevilla but only for half his prize tag,https://www.thesun.co.uk/sport/19223405/blackburn-ben-brereton-diaz-sevilla-transfer-news/
7,'I HEARD THAT TOO...',Ronaldo faces more rejection as Bayern boss laughs off transfer talk,https://www.thesun.co.uk/sport/football/19223844/cristiano-ronaldo-transfer-bayern-munich-rejected/
8,RED LINE THROUGH IT,Maguire opens up on Man Utd struggles but hopes for new lease of life,https://www.thesun.co.uk/sport/football/19223494/harry-maguire-man-utd-struggles/
9,IN BAD NICK,Elanga claims Utd weren't fit enough under Rangnick as he hails Ten Hag regime,https://www.thesun.co.uk/sport/football/19223445/elanga-ten-hag-man-united-rangnick/
10,UNHAPPY HENDING,Dean Henderson injury blow as Man Utd loanee forced off in Forest friendly,https://www.thesun.co.uk/sport/19224152/dean-henderson-nottingham-forest-manchester-united-2/
11,TOON TONEY,Newcastle turn to former star Ivan Toney but face £30m fight with Leeds,https://www.thesun.co.uk/sport/football/19224286/newcastle-brentford-leeds-ivan-toney/
12,KYLE HIGH,Southampton slap £40m tag on Walker-Peters as Lampard's Everton target full-back,https://www.thesun.co.uk/sport/football/19223967/southampton-everton-kyle-walker-peters-transfer/
13,O'BROTHER,Forest's £10m deal for O'Brien held up by bizarre clause in Huddersfield contract,https://www.thesun.co.uk/sport/19223856/nottingham-forest-lewis-obrien-huddersfield-transfer-2/
14,QUEUE FOR BEN,"Burnley, Stoke, Blackburn & Rangers want forgotten Liverpool defender Davies",https://www.thesun.co.uk/sport/football/19223493/ben-davies-liverpool-transfer-burnley-rangers-stoke-blackburn/
15,SALE AWAY,Man Utd target De Jong takes boat trip with Depay as he escapes Barca exit saga,https://www.thesun.co.uk/sport/football/19220005/man-utd-transfer-de-jong-depay-barcelona/
16,BRIL DREAM,Sidibe wants Prem move and available on free after Monaco contract expires,https://www.thesun.co.uk/sport/football/19223185/djibril-sidibe-premier-league-transfer-monaco/
17,CHRIS GOODBYE,Crystal Palace willing to offload Benteke this summer as they to raise funds,https://www.thesun.co.uk/sport/football/19223392/crystal-palace-christian-benteke-transfer/
18,BEER WE GO!,Premier League club with the cheapest pints revealed - where does yours rank?,https://www.thesun.co.uk/sport/19225501/manchester-city-cheapest-pint-premier-league/
19,VAX ENOUGH,England stars who refuse Covid jabs face World Cup axe due to Qatar rules,https://www.thesun.co.uk/sport/football/19219989/england-covid-jabs-world-cup-gareth-southgate/
20,SUPER DEAL,Euro 2022: £30 BONUS when you stake any amount -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17804593/sky-bet-free-bet-new-euro-2022/
21,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/free-bets-sun-vegas-no-deposit/
22,CASH BACK,The Open: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/the-open-golf-2022-paddy-power-free-bets-offer/
23,LEWK WHO'S LEAVING,Lewandowski says goodbye to Bayern pals ahead of Barcelona transfer,https://www.thesun.co.uk/sport/football/19222838/lewandowski-bayern-munich-barcelona-transfer-2/
24,MARC MY WORDS,Rashford reveals why he hates Liverpool the most... in cheeky dig at Man City,https://www.thesun.co.uk/sport/19222042/man-utd-rashford-liverpool-man-city/
25,FLIGHT DELAY,Spurs to jet home from South Korea without Covid victims Bissouma and Forster,https://www.thesun.co.uk/sport/19222965/tottenham-bissouma-forster-covid-stay-in-south-korea/
26,RON THE MONEY,Raphinha seals ‘dream' £55m move as Barca hope for Ronaldinho-style magic,https://www.thesun.co.uk/sport/19216521/raphinha-dream-transfer-barcelona-ronaldinho/
27,BUOYANT BRUNO,Bruno Guimaraes predicts Newcastle can break into top six next season,https://www.thesun.co.uk/sport/football/19223288/bruno-guimaraes-predicts-top-six-finish-for-newcastle/
28,FEEL THE BERN,Arsenal reject £10m Leno offer from Fulham as they reveal their asking price,https://www.thesun.co.uk/sport/football/19221492/arsenal-reject-bernd-leno-offer-fulham/
29,MAX POWER,Everton in talks to steal Maxwel Cornet from Burnley in summer transfer,https://www.thesun.co.uk/sport/19222521/everton-maxwel-cornet-burnley-frank-lampard/
30,SAVAGED,Scholes trolls ex-Man Utd team-mate Savage over son Charlie and his mum,https://www.thesun.co.uk/sport/19221006/paul-scholes-man-utd-robbie-savage-charlie/
31,GIVE ME MAH,Mahrez signs two-year extension with City after Sterling's Chelsea move,https://www.thesun.co.uk/sport/football/19215325/riyad-mahrez-man-city-contract-extension-raheem-sterling-void/
32,LAS IS MORE,Leeds interested in signing Arsenal flop Nicolas Pepe as Raphinha replacement,https://www.thesun.co.uk/sport/football/19210422/leeds-arsenal-nicolas-pepe-transfer/
33,BOEHL-ED OVER,Boehly holds talks with whole Chelsea squad as Sterling trains with new pals,https://www.thesun.co.uk/sport/19214525/chelsea-boehly-talks-squad-sterling-usa-preseason/
34,FAMILY MISFORTUNE,West Ham target Scamacca's dad 'SMASHED UP Roma stars' cars' in rampage,https://www.thesun.co.uk/sport/19217439/west-ham-david-moyes-gianluca-scamacca-roma-cars/
35,U.S.NAY,Aymeric Laporte joins Ilkay Gundogan in missing Man City's US pre-season tour,https://www.thesun.co.uk/sport/football/19223005/laporte-gundogan-foden-stones-city-us-tour/
