,titles,subtitles,links
0,KEEPING IT SHORT,Fans say the same thing as Ronaldo shares workout pic wearing Utd shorts,https://www.thesun.co.uk/sport/19203971/man-utd-shorts-cristiano-ronaldo-fans-transfer/
1,CON AIR,Gallagher once tried to dodge Tuchel in a pub - now he's fighting to get in team,https://www.thesun.co.uk/sport/19205446/conor-gallagher-pub-thomas-tuchel-chelsea/
2,BBC BLUNDER,BBC issue grovelling apology for showing wrong footballer over rape arrest,https://www.thesun.co.uk/sport/19203498/bbc-apology-wrong-footballer-rape-arrest/
3,RON FIT FOR ME,Chelsea END Ronaldo interest leaving wantaway Man Utd star with NO offers,https://www.thesun.co.uk/sport/football/19195082/chelsea-end-ronaldo-interest-tuchel-boehly/
4,RACING BONUS,Horse racing free bets: Bet £10 today & get £30 bonus with Spreadex,https://www.thesun.co.uk/sport/betting-tips/19163055/spreadex-new-customer-free-bets-horse-racing-bonus-offer/
5,DINE DEAL,Martinez’s Man Utd move ‘CONFIRMED’ by personal chef with Ajax ‘farewell dinner’,https://www.thesun.co.uk/sport/football/19204149/lisandro-martinez-man-utd-move-chef-kohli/
6,DEM-FOUNDED,Fans shocked by Barcelona's 'budget' announcement of Dembele's new contract,https://www.thesun.co.uk/sport/19199075/barcelona-announce-ousmane-dembele-contract-budget-video/
7,CITY BOYS,Sons of ex-Utd star Grant & ex-Liverpool ace Heskey sign for rivals City,https://www.thesun.co.uk/sport/19202674/man-utd-lee-grant-liverpool-emile-heskey-sons-city/
8,HAAL THE BEST,Haaland reveals classy Solskjaer message after snubbing Utd for rivals City,https://www.thesun.co.uk/sport/19202121/haaland-man-city-transfer-message-solskjaer-utd/
9,RON NOT GONE,Ten Hag shuts down Ronaldo exit talk with curt response as Man Utd train in Oz,https://www.thesun.co.uk/sport/football/19202056/cristiano-ronaldo-ten-hag-defiant-man-utd-transfer/
10,'COULD GET BEST YEARS',Cole delighted with Sterling signing as Dodger Stadium mural appears,https://www.thesun.co.uk/sport/19204645/chelsea-raheem-sterling-joe-cole-delight/
11,'MASSIVE SIGNING',Gallagher shocked Man City let £50m England ace Sterling move to Chelsea,https://www.thesun.co.uk/sport/football/19206029/raheem-sterling-gallagher-chelsea-transfer-man-city/
12,UPSIDE DOWN,Flamengo brilliantly announce Arturo Vidal transfer with Stranger Things video,https://www.thesun.co.uk/sport/19200007/flamengo-stranger-things-netflix-arturo-vidal/
13,DJED SET,Tottenham on verge of deal for Boro's Spence with medical in 'next 48 hours',https://www.thesun.co.uk/sport/19204294/tottenham-middlesbrough-djed-spence-transfer-medical/
14,DE JONG & SHORT OF IT,De Jong 'BLOCKING Man Utd transfer' despite club striking £72m deal,https://www.thesun.co.uk/sport/football/19203306/frenkie-de-jong-man-utd-transfer/
15,DROP IT LIKE A SHOT,Chelsea stars link up with Snoop Dogg in LA on US pre-season tour,https://www.thesun.co.uk/sport/19198666/chelsea-stars-havertz-gilmour-snoop-dogg-tour/
16,'PERFECT TIME',Rooney took under 5 minutes to accept DC job & is keen to face Phil Neville,https://www.thesun.co.uk/sport/football/19191558/wayne-rooney-dc-united-eight-minutes-to-take-job/
17,MARC MY WORDS,Rashford excited to get career back on track in 'fresh start' under Ten Hag,https://www.thesun.co.uk/sport/19195159/rashford-ten-hag-man-utd-fresh-start/
18,EM-AZING,Watch Aubameyang score stunning half-volley as Barca draw with FIFTH-TIER side,https://www.thesun.co.uk/sport/football/19197058/pierre-emerick-aubameyang-goal-barcelona-friendly/
19,YANK UP THE SUMS,Prem giants chase US cash boost after Champions League payout falls short,https://www.thesun.co.uk/sport/19192128/premier-league-usa-boost-champions-league/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/free-bets-sun-vegas-no-deposit/
22,CASH BACK,The Open: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/the-open-golf-2022-paddy-power-free-bets-offer/
23,NEW HEIGHTS,How Man Utd could line up with tallest striker and smallest centre-back in Prem,https://www.thesun.co.uk/sport/19201280/manchester-united-martinez-sasa-kalajdzic-transfer/
24,GOING ALL ZIN,Arsenal 'open Zinchenko talks with Man City willing to sell Ukraine star',https://www.thesun.co.uk/sport/football/19199914/arsenal-oleksandri-zinchenko-talks-man-city/
25,SAUDI RICHES,Ronaldo receives £2m-a-WEEK transfer offer to join Saudi Arabian league,https://www.thesun.co.uk/sport/19194942/cristiano-ronaldo-next-club-saudi-offer/
26,ZIN BUSINESS,How Arsenal could line up with Zinchenko partnering Tielemans in midfield,https://www.thesun.co.uk/sport/football/19202613/arsenal-line-up-zinchenko-tielemans/
27,MARC-ED MAN,Newcastle 'launch £24m Asensio bid after holding talks with Arsenal target',https://www.thesun.co.uk/sport/19199823/marco-asensio-transfer-newcastle-real-madrid/
28,CHANGE OF TOON,Newcastle ‘ABANDON’ Isak & Diaby moves with Magpies ‘back to drawing board’,https://www.thesun.co.uk/sport/19203585/newcastle-alexander-isak-moussa-diaby-transfers-abadoned/
29,THEY LIKE KIM,PSG put £42m price-tag on Chelsea target Kimpembe as they near Koulibaly deal,https://www.thesun.co.uk/sport/19201170/psg-chelsea-presnel-kimpembe-koulibaly-ake-transfer/
30,ON SPEED DIOL,Arsenal ‘lead Gvardiol race and lining up bid as Spurs & Man City circle’,https://www.thesun.co.uk/sport/football/19201113/arsenal-josko-gvardiol-transfer-tottenham-man-city/
31,GIANT SIGNING,Huddersfield confirm transfer of UK’s TALLEST player as 6ft 9in striker joins,https://www.thesun.co.uk/sport/football/19202136/huddersfield-transfer-uk-tallest-player-kyle-hudlin/
32,WE WANT JU,Real Madrid make Bellingham No1 target amid interest from three top Prem clubs,https://www.thesun.co.uk/sport/football/19195594/real-madrid-jude-bellingham-transfer-man-utd-chelsea/
33,LIS-TEN UP,Stats show ball-playing rock Lisandro Martinez will be Man Utd's No1 defender,https://www.thesun.co.uk/sport/19189120/man-utd-transfer-lisandro-martinez-stats-compared/
34,"WILL HE, WON'T HE?",Saliba not planning to extend Arsenal deal as Marseille plot transfer,https://www.thesun.co.uk/sport/19196706/william-saliba-arsenal-transfer-news-marseille/
35,MIDAS TUCH,Chelsea 'in talks with PSG & Man City to nab Kimpembe and Ake' to join Koulibaly,https://www.thesun.co.uk/sport/19193022/chelsea-transfer-talks-kimpembe-ake-koulibaly/
36,COL A CAB,Arsenal join Prem rivals in 'Colwill race as Chelsea near Koulibaly & Ake deals',https://www.thesun.co.uk/sport/19201435/levi-colwill-transfer-arsenal-chelsea/
37,CAN'T GRAB GNAB,Premier League suitors dealt blow as Gnabry closes in on new Bayern deal,https://www.thesun.co.uk/sport/football/19196267/serge-gnabry-new-bayern-deal-arsenal-chelsea-united/
38,GUNNERS LATEST,"Sergio Gomez lined up as Zinchenko alternative, Juve eye Gabriel-Rabiot SWAP",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-lucas-paqueta-zinchenko-kante/
39,BLUES LATEST,"Thomas Tuchel targets Kimpembe & Ake NEXT, Koulibaly MEDICAL in London",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-koulibaly-kimpembe-ake-sterling/
40,UNITED LATEST,"Frenkie de Jong deal AGREED, United agree £46m Lisandro Martinez fee",https://www.thesun.co.uk/sport/football/19072018/man-utd-transfer-news-live-lisandro-martinez-frenkie-de-jong-eriksen-timber/
41,SCOTT SPEAKS OUT,I've put on an act for my whole life & turned to drink after being trolled,https://www.thesun.co.uk/sport/19196118/alex-scott-mental-health-battle-alcohol/
42,WINNER WINNER,"Win a VW Transporter or £47,500 cash from just 89p with Sun discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-vw-transporter-7days-performance/
43,LORD AL-WRIGHTY,Ian Wright blasts Lord Sugar in row over BBC punditry at Women's Euros,https://www.thesun.co.uk/sport/football/19168827/ian-wright-lord-sugar-bbc-euros/
44,BUG BOTHER,Switzerland squad struck down by illness with EIGHT players confined to rooms,https://www.thesun.co.uk/sport/19162984/switzerland-squad-illness-womens-euros/
45,DESPERATE APPEAL,Switzerland boss begs for toilet roll after Euro squad is hit by virus,https://www.thesun.co.uk/sport/19174038/toilet-roll-switzerland-women-euro-2022-virus/
46,'QUEEN OF PHOTOSHOP',Fans spot Wanda 'photoshopping' picture - so can you see it?,https://www.thesun.co.uk/sport/football/19198133/wanda-nara-photoshop-instagram-bikini-picture/
47,INSTA-GLAM,"PL's most popular Wags revealed including Georgina, Perrie Edwards and Vardy",https://www.thesun.co.uk/sport/football/19169362/premier-league-most-popular-wags-instagram/
48,'SHAMEFUL',Ronaldo's sister-in-law fumes after Georgina is criticised over holiday snaps,https://www.thesun.co.uk/sport/19197147/georgina-rodriguez-sister-man-utd-ronaldo-bikini/
49,DAVE KIDD,Tottenham finally ready to shed 'Spursy' tag as Conte brings in quality early,https://www.thesun.co.uk/sport/19165277/tottenham-shed-spursy-tag-antonio-conte-transfer/
50,NEIL CUSTIS,Ronaldo transfer saga threatens to derail Man Utd boss Erik ten Hag's plans,https://www.thesun.co.uk/sport/football/19165957/ronaldo-transfer-saga-derail-man-utd-plans-sports-column/
51,MARK IRWIN,Man Utd boss Ten Hag and Lampard will be nervous now Pochettino is a free agent,https://www.thesun.co.uk/sport/19128687/pochettino-man-utd-ten-hag-chelsea-managers-beware/
52,ROO BEAUTY,Rooney watches from stands as DC United score late equaliser in thrilling draw,https://www.thesun.co.uk/sport/19196852/wayne-rooney-dc-united-first-game/
53,LEW-KING GOOD,Lewandowski's body transformation is frightening as he shows off hench figure,https://www.thesun.co.uk/sport/19200202/robert-lewandowski-bayern-munich-barcelona-physique-training/
54,KAI FLIER,Rooney's son Kai signs deal with Puma aged 12 ahead of dad's DC United move,https://www.thesun.co.uk/sport/19169840/wayne-rooney-son-kai-puma-man-utd-dc-united/
55,SUCK IT AND SEA,"Ronaldo, Messi and Benzema all eat secret vegetable to stay in top shape",https://www.thesun.co.uk/sport/19183128/ronaldo-messi-benzema-seaweed-diet/
56,'PRAYING FOR PEACE',Ukrainian lad auctions off signed Ronaldo shirt in huge boost to army,https://www.thesun.co.uk/sport/19184465/cristiano-ronaldo-shirt-auctioned-ukrainian-boy-war-effort/
